scenario,year,cotton_withdrawal,cotton_scarcity
ssp_ag2_soc5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,24.5464,2.112319145
ssp_ag5_soc2_gwmed_rs_ipsl_NDC_Tax_uct,2100,36.0774,2.637555368
ssp_ag2_soc5_gwlo_exp_gfdl_NDC_Tax_uct,2100,32.2824,2.574170132
ssp_ag2_soc5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,25.1286,1.851781931
ssp_ag2_soc5_gwlo_exp_hadgem_NDC_Tax_uct,2100,32.1414,2.247370273
ssp_ag2_soc5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,24.3337,2.181432072
ssp_ag2_soc5_gwlo_exp_ipsl_NDC_Tax_uct,2100,32.4071,2.650072438
ssp_ag2_soc5_gwlo_exp_miroc_NDC_Tax_ffict,2100,25.5747,2.037923329
ssp_ag2_soc5_gwlo_exp_miroc_NDC_Tax_uct,2100,32.687,2.513034287
ssp_ag2_soc5_gwlo_exp_noresm_NDC_Tax_ffict,2100,23.76399,1.894419663
ssp_ag2_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,31.47545,2.284614329
ssp_ag2_soc5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,24.7044,2.114724836
ssp_ag5_soc2_gwmed_rs_miroc_NDC_Tax_ffict,2100,27.6818,2.107514697
ssp_ag2_soc5_gwlo_rs_gfdl_NDC_Tax_uct,2100,32.4269,2.56565263
ssp_ag2_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,25.2155,1.853130892
ssp_ag2_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,32.2125,2.247798286
ssp_ag2_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,24.7039,2.195540984
ssp_ag2_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,32.7321,2.646240412
ssp_ag2_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,25.785,2.038176778
ssp_ag2_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,32.966,2.505978775
ssp_ag2_soc5_gwlo_rs_noresm_NDC_Tax_ffict,2100,23.89332,1.895634463
ssp_ag2_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,31.6379,2.284338407
ssp_ag2_soc5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,24.4915,2.112260751
ssp_ag5_soc2_gwmed_rs_miroc_NDC_Tax_uct,2100,35.6461,2.534445296
ssp_ag2_soc5_gwmed_exp_gfdl_NDC_Tax_uct,2100,32.1936,2.573911451
ssp_ag2_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,25.0957,1.840288732
ssp_ag2_soc5_gwmed_exp_hadgem_NDC_Tax_uct,2100,32.1341,2.249000955
ssp_ag2_soc5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,24.3579,2.187171695
ssp_ag2_soc5_gwmed_exp_ipsl_NDC_Tax_uct,2100,32.3179,2.649534283
ssp_ag2_soc5_gwmed_exp_miroc_NDC_Tax_ffict,2100,25.4728,2.036660906
ssp_ag2_soc5_gwmed_exp_miroc_NDC_Tax_uct,2100,32.5396,2.515824179
ssp_ag2_soc5_gwmed_exp_noresm_NDC_Tax_ffict,2100,23.72268,1.877128664
ssp_ag2_soc5_gwmed_exp_noresm_NDC_Tax_uct,2100,31.29046,2.286218198
ssp_ag2_soc5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,24.5808,2.112874541
ssp_ag5_soc2_gwmed_rs_noresm_NDC_Tax_ffict,2100,25.9993,2.011434684
ssp_ag2_soc5_gwmed_rs_gfdl_NDC_Tax_uct,2100,32.1924,2.565719044
ssp_ag2_soc5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,25.1677,1.855759185
ssp_ag2_soc5_gwmed_rs_hadgem_NDC_Tax_uct,2100,32.1102,2.249095821
ssp_ag2_soc5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,24.4692,2.19438002
ssp_ag2_soc5_gwmed_rs_ipsl_NDC_Tax_uct,2100,32.3799,2.645585517
ssp_ag2_soc5_gwmed_rs_miroc_NDC_Tax_ffict,2100,25.6444,2.059368263
ssp_ag2_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,32.611,2.507414993
ssp_ag2_soc5_gwmed_rs_noresm_NDC_Tax_ffict,2100,23.73466,1.901589483
ssp_ag2_soc5_gwmed_rs_noresm_NDC_Tax_uct,2100,31.28265,2.283232596
ssp_ag1_soc1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,27.0591,2.209945985
ssp_ag5_soc1_gwhi_rs_gfdl_NDC_Tax_uct,2100,29.0902,2.418877768
ssp_ag5_soc2_gwmed_rs_noresm_NDC_Tax_uct,2100,33.7683,2.425447317
ssp_ag1_soc1_gwhi_exp_gfdl_NDC_Tax_uct,2100,28.0446,2.420026432
ssp_ag1_soc1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,27.2653,2.065364339
ssp_ag1_soc1_gwhi_exp_hadgem_NDC_Tax_uct,2100,27.3726,2.284067229
ssp_ag1_soc1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,26.4023,2.250710559
ssp_ag1_soc1_gwhi_exp_ipsl_NDC_Tax_uct,2100,27.9929,2.458399391
ssp_ag1_soc1_gwhi_exp_miroc_NDC_Tax_ffict,2100,27.7375,2.154150895
ssp_ag1_soc1_gwhi_exp_miroc_NDC_Tax_uct,2100,28.0368,2.393398879
ssp_ag1_soc1_gwhi_exp_noresm_NDC_Tax_ffict,2100,25.7109,2.072137355
ssp_ag1_soc1_gwhi_exp_noresm_NDC_Tax_uct,2100,26.8506,2.305177744
ssp_ag1_soc1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,27.1586,2.21184917
ssp_ag5_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,36.0597,2.447880824
ssp_ag1_soc1_gwhi_rs_gfdl_NDC_Tax_uct,2100,27.9774,2.420481941
ssp_ag1_soc1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,27.3557,2.066639076
ssp_ag1_soc1_gwhi_rs_hadgem_NDC_Tax_uct,2100,27.3566,2.284644119
ssp_ag1_soc1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,26.4691,2.25317752
ssp_ag1_soc1_gwhi_rs_ipsl_NDC_Tax_uct,2100,28.0059,2.458561839
ssp_ag1_soc1_gwhi_rs_miroc_NDC_Tax_ffict,2100,27.8742,2.156075929
ssp_ag1_soc1_gwhi_rs_miroc_NDC_Tax_uct,2100,28.0859,2.392947489
ssp_ag1_soc1_gwhi_rs_noresm_NDC_Tax_ffict,2100,25.7829,2.072701501
ssp_ag1_soc1_gwhi_rs_noresm_NDC_Tax_uct,2100,26.8327,2.305123956
ssp_ag1_soc1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,27.0595,2.210063874
ssp_ag5_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,46.7844,2.732205087
ssp_ag1_soc1_gwlo_exp_gfdl_NDC_Tax_uct,2100,28.0115,2.42031747
ssp_ag1_soc1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,27.2848,2.065388643
ssp_ag1_soc1_gwlo_exp_hadgem_NDC_Tax_uct,2100,27.3786,2.284150495
ssp_ag1_soc1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,26.4027,2.249051059
ssp_ag1_soc1_gwlo_exp_ipsl_NDC_Tax_uct,2100,27.9823,2.458329185
ssp_ag1_soc1_gwlo_exp_miroc_NDC_Tax_ffict,2100,27.7586,2.153168649
ssp_ag1_soc1_gwlo_exp_miroc_NDC_Tax_uct,2100,28.0606,2.392703209
ssp_ag1_soc1_gwlo_exp_noresm_NDC_Tax_ffict,2100,25.7176,2.071956472
ssp_ag1_soc1_gwlo_exp_noresm_NDC_Tax_uct,2100,26.8555,2.304972055
ssp_ag1_soc1_gwlo_rs_gfdl_NDC_Tax_ffict,2100,27.1571,2.212130578
ssp_ag5_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,35.0688,2.2211048
ssp_ag1_soc1_gwlo_rs_gfdl_NDC_Tax_uct,2100,28.0265,2.41925864
ssp_ag1_soc1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,27.3641,2.066751671
ssp_ag1_soc1_gwlo_rs_hadgem_NDC_Tax_uct,2100,27.3678,2.285993943
ssp_ag1_soc1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,26.6912,2.255247896
ssp_ag1_soc1_gwlo_rs_ipsl_NDC_Tax_uct,2100,27.9787,2.458591322
ssp_ag1_soc1_gwlo_rs_miroc_NDC_Tax_ffict,2100,27.8975,2.158540922
ssp_ag1_soc1_gwlo_rs_miroc_NDC_Tax_uct,2100,28.1316,2.392480081
ssp_ag1_soc1_gwlo_rs_noresm_NDC_Tax_ffict,2100,25.8169,2.073049122
ssp_ag1_soc1_gwlo_rs_noresm_NDC_Tax_uct,2100,26.7583,2.306478603
ssp_ag1_soc1_gwmed_exp_gfdl_NDC_Tax_ffict,2100,27.0555,2.210205887
ssp_ag5_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,43.5361,2.56967263
ssp_ag1_soc1_gwmed_exp_gfdl_NDC_Tax_uct,2100,28.0338,2.420009179
ssp_ag1_soc1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,27.2595,2.06531732
ssp_ag1_soc1_gwmed_exp_hadgem_NDC_Tax_uct,2100,27.3505,2.284081671
ssp_ag1_soc1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,26.3989,2.250269576
ssp_ag1_soc1_gwmed_exp_ipsl_NDC_Tax_uct,2100,27.9757,2.458393992
ssp_ag1_soc1_gwmed_exp_miroc_NDC_Tax_ffict,2100,27.7407,2.153496831
ssp_ag1_soc1_gwmed_exp_miroc_NDC_Tax_uct,2100,28.03,2.392809271
ssp_ag1_soc1_gwmed_exp_noresm_NDC_Tax_ffict,2100,25.6948,2.072191536
ssp_ag1_soc1_gwmed_exp_noresm_NDC_Tax_uct,2100,26.8442,2.305107135
